,date,DOHOL,THYAO
533,2020-01-15 12:57:04.883000010,1.0,-1.0
534,2020-01-15 13:23:05.470000010,-1.0,-1.0
535,2020-01-15 14:06:00.876000010,1.0,-1.0
536,2020-01-15 15:19:47.294000020,1.0,-1.0
537,2020-01-15 16:09:30.209000070,1.0,0.0
538,2020-01-15 16:09:47.972000010,-1.0,-1.0
539,2020-01-15 16:27:07.193000020,-1.0,1.0
540,2020-01-15 16:27:07.340000260,1.0,0.0
541,2020-01-15 16:27:09.214000010,-1.0,1.0
542,2020-01-15 16:36:05.380000050,-1.0,-1.0
543,2020-01-15 16:41:43.704000020,1.0,1.0
544,2020-01-15 16:49:06.893000050,-1.0,1.0
545,2020-01-15 17:20:09.553000040,1.0,1.0
546,2020-01-15 17:21:09.465000010,-1.0,0.0
547,2020-01-15 17:21:58.631000020,1.0,0.0
548,2020-01-15 17:21:59.745000020,-1.0,0.0
549,2020-01-15 17:22:09.070000040,1.0,0.0
550,2020-01-15 17:23:21.239000040,-1.0,-1.0
551,2020-01-15 17:23:24.178000020,1.0,-1.0
552,2020-01-15 17:24:41.115000050,-1.0,-1.0
553,2020-01-15 17:32:48.860000090,1.0,0.0
554,2020-01-15 17:32:54.335000030,-1.0,-1.0
555,2020-01-15 17:37:39.306000010,1.0,0.0
556,2020-01-15 17:37:40.018000090,-1.0,1.0
557,2020-01-15 17:40:20.847000040,1.0,-1.0
558,2020-01-15 17:41:49.658000160,-1.0,0.0
559,2020-01-15 17:41:50.885000010,1.0,0.0
560,2020-01-15 17:41:51.090000060,-1.0,0.0
561,2020-01-15 17:42:00.837000020,1.0,0.0
562,2020-01-15 17:42:01.753000050,-1.0,1.0
563,2020-01-15 17:43:41.440000020,1.0,1.0
564,2020-01-15 17:43:44.414000220,-1.0,-1.0
565,2020-01-15 17:43:59.026000020,1.0,-1.0
566,2020-01-15 17:44:59.535000010,-1.0,0.0
567,2020-01-15 17:45:21.969000000,-1.0,-1.0
568,2020-01-15 17:46:48.285000060,1.0,1.0
569,2020-01-15 17:47:04.519000050,-1.0,1.0
570,2020-01-16 10:00:03.589000480,1.0,1.0
571,2020-01-16 10:01:23.512000080,-1.0,-1.0
572,2020-01-16 10:01:32.349000300,1.0,0.0
573,2020-01-16 10:01:45.755000030,-1.0,-1.0
574,2020-01-16 10:10:50.348000050,1.0,-1.0
575,2020-01-16 10:26:38.324000060,1.0,-1.0
576,2020-01-16 10:32:10.412000010,-1.0,-1.0
577,2020-01-16 10:33:42.103000030,1.0,-1.0
578,2020-01-16 10:34:10.476000090,-1.0,0.0
579,2020-01-16 10:34:17.578000060,1.0,1.0
580,2020-01-16 10:59:52.287000010,-1.0,0.0
581,2020-01-16 11:00:01.111000080,1.0,1.0
582,2020-01-16 11:37:47.944000110,-1.0,1.0
583,2020-01-16 12:41:48.685000140,-1.0,1.0
584,2020-01-16 13:04:28.575000010,1.0,1.0
585,2020-01-16 14:03:22.256000010,-1.0,-1.0
586,2020-01-16 14:05:25.765000040,1.0,1.0
587,2020-01-16 14:18:55.877000060,-1.0,1.0
588,2020-01-16 15:38:44.098000110,-1.0,1.0
589,2020-01-16 15:39:48.618000060,1.0,0.0
590,2020-01-16 15:40:08.601000100,-1.0,-1.0
591,2020-01-16 15:44:28.119000010,1.0,1.0
592,2020-01-16 15:45:11.387000050,-1.0,-1.0
593,2020-01-16 15:50:31.677000270,1.0,1.0
594,2020-01-16 15:51:13.115000190,-1.0,1.0
595,2020-01-16 16:31:10.210000030,-1.0,-1.0
596,2020-01-16 16:35:11.249000210,-1.0,1.0
597,2020-01-16 16:35:38.013000020,1.0,1.0
598,2020-01-16 17:12:42.489000020,-1.0,-1.0
599,2020-01-16 17:20:21.097000120,-1.0,-1.0
600,2020-01-16 17:22:59.382000030,-1.0,-1.0
601,2020-01-16 17:25:43.186000100,1.0,1.0
602,2020-01-16 17:25:50.180000180,-1.0,0.0
603,2020-01-16 17:25:50.679000020,1.0,0.0
604,2020-01-16 17:25:50.898000010,-1.0,-1.0
605,2020-01-16 17:25:55.017000190,1.0,0.0
606,2020-01-16 17:25:55.532000130,-1.0,-1.0
607,2020-01-16 17:27:44.882000240,1.0,1.0
608,2020-01-16 17:28:39.798000040,-1.0,0.0
609,2020-01-16 17:28:40.718000090,1.0,0.0
610,2020-01-16 17:28:52.658000090,-1.0,0.0
611,2020-01-16 17:28:52.745000010,1.0,1.0
612,2020-01-16 17:40:01.170000020,1.0,-1.0
613,2020-01-16 17:40:21.765000020,-1.0,-1.0
614,2020-01-17 10:11:51.113000040,-1.0,1.0
615,2020-01-17 10:36:13.362000050,-1.0,-1.0
616,2020-01-17 10:43:35.544000030,-1.0,0.0
617,2020-01-17 10:44:24.921000080,1.0,1.0
618,2020-01-17 11:40:24.915000040,1.0,1.0
619,2020-01-17 11:40:51.263000040,-1.0,-1.0
620,2020-01-17 12:45:34.332000010,-1.0,1.0
