,date,AKBNK,ARCLK
471,2020-01-02 15:21:02.644000190,-1.0,0.0
472,2020-01-02 15:21:28.929000230,1.0,0.0
473,2020-01-02 15:21:39.800000150,-1.0,-1.0
474,2020-01-02 15:25:43.339000020,1.0,0.0
475,2020-01-02 15:25:43.542000160,-1.0,0.0
476,2020-01-02 15:25:43.542000190,-1.0,0.0
477,2020-01-02 15:26:17.999000190,1.0,0.0
478,2020-01-02 15:26:30.205000200,-1.0,0.0
479,2020-01-02 15:26:30.205000230,-1.0,0.0
480,2020-01-02 15:28:47.844000100,1.0,1.0
481,2020-01-02 15:35:54.910000240,-1.0,1.0
482,2020-01-02 15:37:05.505000100,1.0,1.0
483,2020-01-02 15:42:07.166000080,1.0,0.0
484,2020-01-02 15:42:07.166000110,1.0,-1.0
485,2020-01-02 15:58:57.898000180,-1.0,0.0
486,2020-01-02 15:58:57.898000220,-1.0,-1.0
487,2020-01-02 16:04:55.583000160,1.0,0.0
488,2020-01-02 16:04:55.583000200,1.0,0.0
489,2020-01-02 16:14:20.993000040,-1.0,0.0
490,2020-01-02 16:14:33.926000160,1.0,0.0
491,2020-01-02 16:14:34.430000060,-1.0,0.0
492,2020-01-02 16:14:34.430000090,-1.0,1.0
493,2020-01-02 16:21:55.070000190,1.0,0.0
494,2020-01-02 16:21:55.070000220,1.0,-1.0
495,2020-01-02 16:34:17.538000190,-1.0,-1.0
496,2020-01-02 16:53:51.141000030,1.0,0.0
497,2020-01-02 16:53:51.141000080,1.0,-1.0
498,2020-01-02 17:13:02.338000040,1.0,0.0
499,2020-01-02 17:13:02.338000070,1.0,-1.0
500,2020-01-02 17:14:04.907000130,-1.0,0.0
